frame_index,frame_name,timestamp_sec,label,source,segment_id,sample_weight,is_boundary
172,frame_000172.jpg,86.0,Cook-Heat,reviewed,0,0.5,True
173,frame_000173.jpg,86.5,Cook-Heat,reviewed,0,0.5,True
174,frame_000174.jpg,87.0,Cook-Heat,reviewed,0,1.0,False
175,frame_000175.jpg,87.5,Cook-Heat,reviewed,0,1.0,False
176,frame_000176.jpg,88.0,Cook-Heat,reviewed,0,1.0,False
177,frame_000177.jpg,88.5,Cook-Heat,reviewed,0,1.0,False
178,frame_000178.jpg,89.0,Cook-Heat,reviewed,0,1.0,False
179,frame_000179.jpg,89.5,Cook-Heat,reviewed,0,1.0,False
180,frame_000180.jpg,90.0,Cook-Heat,reviewed,0,1.0,False
181,frame_000181.jpg,90.5,Cook-Heat,reviewed,0,1.0,False
182,frame_000182.jpg,91.0,Cook-Heat,reviewed,0,1.0,False
183,frame_000183.jpg,91.5,Cook-Heat,reviewed,0,1.0,False
184,frame_000184.jpg,92.0,Cook-Heat,reviewed,0,1.0,False
185,frame_000185.jpg,92.5,Cook-Heat,reviewed,0,1.0,False
186,frame_000186.jpg,93.0,Cook-Heat,reviewed,0,1.0,False
187,frame_000187.jpg,93.5,Cook-Heat,reviewed,0,1.0,False
188,frame_000188.jpg,94.0,Cook-Heat,reviewed,0,0.5,True
189,frame_000189.jpg,94.5,Cook-Heat,reviewed,0,0.5,True
194,frame_000194.jpg,97.0,Prep,auto_weak,1,0.25,True
195,frame_000195.jpg,97.5,Prep,auto_weak,1,0.25,True
196,frame_000196.jpg,98.0,Prep,auto_weak,1,0.5,False
197,frame_000197.jpg,98.5,Prep,auto_weak,1,0.5,False
198,frame_000198.jpg,99.0,Prep,auto_weak,1,0.5,False
199,frame_000199.jpg,99.5,Prep,auto_weak,1,0.5,False
200,frame_000200.jpg,100.0,Prep,auto_weak,1,0.5,False
201,frame_000201.jpg,100.5,Prep,auto_weak,1,0.5,False
202,frame_000202.jpg,101.0,Prep,auto_weak,1,0.5,False
203,frame_000203.jpg,101.5,Prep,auto_weak,1,0.5,False
204,frame_000204.jpg,102.0,Prep,auto_weak,1,0.5,False
205,frame_000205.jpg,102.5,Prep,auto_weak,1,0.5,False
206,frame_000206.jpg,103.0,Prep,auto_weak,1,0.25,True
207,frame_000207.jpg,103.5,Prep,auto_weak,1,0.25,True
214,frame_000214.jpg,107.0,Season,auto_weak,2,0.25,True
215,frame_000215.jpg,107.5,Season,auto_weak,2,0.25,True
216,frame_000216.jpg,108.0,Season,auto_weak,2,0.5,False
217,frame_000217.jpg,108.5,Season,auto_weak,2,0.5,False
218,frame_000218.jpg,109.0,Season,auto_weak,2,0.5,False
219,frame_000219.jpg,109.5,Season,auto_weak,2,0.5,False
220,frame_000220.jpg,110.0,Season,auto_weak,2,0.5,False
221,frame_000221.jpg,110.5,Season,auto_weak,2,0.5,False
222,frame_000222.jpg,111.0,Season,auto_weak,2,0.5,False
223,frame_000223.jpg,111.5,Season,auto_weak,2,0.5,False
224,frame_000224.jpg,112.0,Season,auto_weak,2,0.5,False
225,frame_000225.jpg,112.5,Season,auto_weak,2,0.5,False
226,frame_000226.jpg,113.0,Season,auto_weak,2,0.5,False
227,frame_000227.jpg,113.5,Season,auto_weak,2,0.5,False
228,frame_000228.jpg,114.0,Season,auto_weak,2,0.5,False
229,frame_000229.jpg,114.5,Season,auto_weak,2,0.5,False
230,frame_000230.jpg,115.0,Season,auto_weak,2,0.5,False
231,frame_000231.jpg,115.5,Season,auto_weak,2,0.5,False
232,frame_000232.jpg,116.0,Season,auto_weak,2,0.5,False
233,frame_000233.jpg,116.5,Season,auto_weak,2,0.5,False
234,frame_000234.jpg,117.0,Season,auto_weak,2,0.5,False
235,frame_000235.jpg,117.5,Season,auto_weak,2,0.5,False
236,frame_000236.jpg,118.0,Season,auto_weak,2,0.5,False
237,frame_000237.jpg,118.5,Season,auto_weak,2,0.5,False
238,frame_000238.jpg,119.0,Season,auto_weak,2,0.5,False
239,frame_000239.jpg,119.5,Season,auto_weak,2,0.5,False
240,frame_000240.jpg,120.0,Season,auto_weak,2,0.5,False
241,frame_000241.jpg,120.5,Season,auto_weak,2,0.5,False
242,frame_000242.jpg,121.0,Season,auto_weak,2,0.5,False
243,frame_000243.jpg,121.5,Season,auto_weak,2,0.5,False
244,frame_000244.jpg,122.0,Season,auto_weak,2,0.5,False
245,frame_000245.jpg,122.5,Season,auto_weak,2,0.5,False
246,frame_000246.jpg,123.0,Season,auto_weak,2,0.5,False
247,frame_000247.jpg,123.5,Season,auto_weak,2,0.5,False
248,frame_000248.jpg,124.0,Season,auto_weak,2,0.5,False
249,frame_000249.jpg,124.5,Season,auto_weak,2,0.5,False
250,frame_000250.jpg,125.0,Season,auto_weak,2,0.25,True
251,frame_000251.jpg,125.5,Season,auto_weak,2,0.25,True
260,frame_000260.jpg,130.0,Mix,auto_good,3,0.5,True
261,frame_000261.jpg,130.5,Mix,auto_good,3,0.5,True
